city;lat;lng;region;population
Finström;60.2292;19.9889;Åland;2522
Evijärvi;63.3667;23.4750;Etelä-Pohjanmaa;2499
Karvia;62.1333;22.5583;Satakunta;2475
Toivakka;62.1000;26.0833;Keski-Suomi;2431
Karinainen;60.7028;22.7534;Varsinais-Suomi;2425
Ypäjä;60.8083;23.2833;Kanta-Häme;2411
Humppila;60.9250;23.3667;Kanta-Häme;2388
Keitele;63.1783;26.3500;Pohjois-Savo;2379
Koski Tl;60.6542;23.1403;Varsinais-Suomi;2359
Rääkkylä;62.3133;29.6250;Pohjois-Karjala;2349
Pomarkku;61.6917;22.0083;Satakunta;2240
Korsnäs;62.7833;21.1833;Pohjanmaa;2201
Vesanto;62.9333;26.4167;Pohjois-Savo;2191
Pyhäranta;60.9902;21.4564;Varsinais-Suomi;2136
Hämeenkoski;61.0250;25.1500;Päijät-Häme;2104
Miehikkälä;60.6708;27.7000;Kymenlaakso;2085
Lumijoki;64.8367;25.1867;Pohjois-Pohjanmaa;2081
Kihniö;62.2064;23.1999;Pirkanmaa;2038
Marttila;60.5833;22.9000;Varsinais-Suomi;2028
Lemland;60.0806;20.1000;Åland;1991
Pukkila;60.6450;25.5833;Uusimaa;1971
Myrskylä;60.6667;25.8500;Uusimaa;1969
Tarvasjoki;60.5833;22.7333;Varsinais-Suomi;1958
Jämijärvi;61.8167;22.6917;Satakunta;1948
Lavia;61.5958;22.5861;Satakunta;1890
Honkajoki;61.9931;22.2639;Satakunta;1793
Taivassalo;60.5617;21.6083;Varsinais-Suomi;1633
Tervo;62.9556;26.7556;Pohjois-Savo;1608
Hammarland;60.2167;19.7403;Åland;1537
Enonkoski;62.1710;29.0526;Etelä-Savo;1473
Oripää;60.8556;22.6972;Varsinais-Suomi;1377
Karijoki;62.3083;21.7083;Etelä-Pohjanmaa;1369
Kaskinen;62.3667;21.2500;Pohjanmaa;1285
Merijärvi;64.2967;24.4467;Pohjois-Pohjanmaa;1134
Hailuoto;65.0167;24.7167;Pohjois-Pohjanmaa;993
Eckerö;60.2167;19.5500;Åland;935
Föglö;60.0306;20.3875;Åland;561
Geta;60.3750;19.8500;Åland;495
Vårdö;60.2417;20.3750;Åland;441
Nummela;60.3333;24.3333;Uusimaa;
Turenki;60.9167;24.6333;Kanta-Häme;
Parola;61.0529;24.3667;Kanta-Häme;
Oitti;60.7865;25.0271;Kanta-Häme;
Godby;60.2300;19.9881;Åland;
Juva;60.8667;23.0000;Varsinais-Suomi;
Järvelä;60.8680;25.2730;Päijät-Häme;
Siltakylä;60.4958;26.7097;Kymenlaakso;
Vääksy;61.1726;25.5488;Päijät-Häme;
Bennäs;63.6000;22.7917;Pohjanmaa;
Ödkarby;60.3073;19.9862;Åland;
Kyrö;60.7024;22.7577;Varsinais-Suomi;
Kausala;60.8928;26.3394;Kymenlaakso;
Vinkkilä;60.6833;21.7167;Varsinais-Suomi;
Dalsbruk;60.0333;22.5167;Varsinais-Suomi;
Simpele;61.4333;29.3670;Etelä-Karjala;
Björby;60.2572;20.1342;Åland;
Korkeakoski;61.8000;24.3667;Pirkanmaa;
Taavetti;60.9167;27.5667;Etelä-Karjala;
Åva;60.4667;21.0833;Åland;
Karlby;59.9167;20.9000;Åland;
Pyhäsalmi;63.6586;26.0411;Pohjois-Pohjanmaa;
